State,Gender,P Biden,N Biden,P Trump,N Trump,P RFK,N RFK,Total,Voted 2020,,Voted 2016,,Voted 2012,,Voted 2008,,Voted 2004,,Voted 2000,,
Arizona,Male,40,146,51,186,7,21,368,60.4,3.9,50.4,3.3,50.5,3.1,51.2,3.1,56.3,0.4,44.6,3.5,
Arizona,Female,40,172,42,180,8,32,433,68.9,3.5,56.0,3.2,48.7,3.0,55.3,3.1,60.1,0.4,48.7,3.5,
Georgia,Male,39,142,49,176,6,14,361,57.9,3.3,52.7,2.7,55.5,2.5,56.7,2.6,49.0,3.3,47.1,3.4,
Georgia,Female,39,172,45,199,6,28,441,63.5,3.0,58.4,2.6,60.4,2.4,62.3,2.4,56.0,3.2,50.6,3.2,
Michigan,Male,44,149,42,143,6,20,340,62.7,3.2,58.9,2.7,63.1,2.4,62.3,2.4,62.7,2.3,58.5,2.4,
Michigan,Female,43,158,38,138,9,33,368,65.5,3.1,64.5,2.5,65.7,2.3,67.5,2.3,66.5,2.2,61.6,2.3,
Nevada,Male,30,65,52,113,7,16,216,54.5,4.7,51.9,3.9,50.3,3.6,52.8,3.6,49.2,2.9,44.7,3.7,
Nevada,Female,38,89,44,103,7,16,234,58.0,4.6,55.0,3.9,52.4,3.6,52.8,3.7,53.4,2.9,48.4,3.8,
North Carolina,Male,38,124,49,160,5,10,324,56.7,3.3,60.6,2.7,61.2,2.5,61.7,2.6,54.6,2.7,51.8,2.8,
North Carolina,Female,38,145,49,181,3,22,379,60.9,3.1,62.4,2.5,65.9,2.3,65.8,2.4,61.5,2.5,54.4,2.6,
Pennsylvania,Male,40,153,43,179,8,28,382,66.7,2.8,58.1,2.4,58.0,2.2,59.3,2.2,61.3,2.1,55.4,2.2,
Pennsylvania,Female,44,185,39,166,8,35,421,69.7,2.6,62.2,2.2,60.2,2.1,62.2,2.1,63.5,2.0,56.1,2.1,
Wisconsin,Male,39,131,48,162,6,21,335,68.9,4.0,66.9,3.3,69.0,3.0,67.3,3.1,71.9,2.6,66.2,3.6,
Wisconsin,Female,43,156,39,145,9,32,367,74.3,3.7,70.4,3.2,74.6,2.8,69.7,3.0,74.0,2.4,69.3,3.4,
National male,,,,,,,,,59.5,0.5,53.8,0.4,54.4,0.4,55.7,0.4,56.3,0.4,53.1,0.5,
National female,,,,,,,,,63.0,0.5,58.1,0.4,58.5,0.4,60.4,0.4,60.1,0.4,56.2,0.5,
National,,,,,,,,,61.3,0.4,56.0,0.3,56.5,0.3,58.2,0.3,58.3,0.3,54.7,0.3,
