State,Race,% Biden,N Biden,% Trump,N Trump,% RFK,N RFK,Total,Voted 2020,,Voted 2016,,Voted 2012,,Voted 2008,,Voted 2004,,Voted 2000,,pop,,pop2
Arizona,White-NH,0.37,189,0.49,251,0.07,38,512,76,3.1,66.8,2.9,60.8,2.7,65.7,2.6,68.8,2.7,57,3,3140.00,,3816547
Arizona,Black-NH,0.51,21,0.22,9,0.12,5,41,63.9,11.3,47.9,12.6,45.1,12.4,51.5,13.3,46.6,15.3,32.7,16.2,279.00,,317161
Arizona,Hispanic,0.47,87,0.4,74,0.06,11,185,45.2,5.1,33.7,6.1,28.7,5.7,51.5,6.5,25.5,6.1,27.1,6.8,1800.00,,2192253
Arizona,Asian/Other,0.32,20,0.52,33,0,0,63,52,14.1,33.1,15.2,19,9.9,45.7,18.2,29.8,B,12.8,10.8,206.00,,825541
Georgia,White-NH,0.23,110,0.65,315,0.06,30,483,69.5,2.9,63.2,2.5,61.3,2.2,63.4,2.2,57.4,2.9,49.6,2.9,4239.00,,5362156
Georgia,Black-NH,0.69,180,0.14,36,0.03,7,259,62.6,3.8,57.9,4.1,62.3,3.8,23.6,3.8,54.4,5.4,52.2,4.9,2569.00,,3278119
Georgia,Hispanic,0.34,10,0.48,14,0.07,2,29,24.1,6.8,23.6,8.5,23.3,9,54.5,10,7,7.6,15.6,15.5,739.00,,1123457
Georgia,Asian/Other,0.43,13,0.3,9,0.07,2,30,29.8,9.4,19.3,8.7,30.2,10.4,23.0,11.8,16.1,12.3,5.6,B,389.00,,948176
Michigan,White-NH,0.42,235,0.42,239,0.07,41,566,67.5,2.5,65.2,2,66.8,1.8,66.5,1.8,67.2,1.8,61.9,1.8,5922.00,,7295651
Michigan,Black-NH,,54,,27,,3,91,61.5,6,59.9,6.1,61,5.5,70.2,5.3,62.6,5.5,60.9,5.7,1021.00,,1358458
Michigan,Hispanic,,9,,7,,5,23,40.7,10.5,25.7,13.3,55.4,13.9,35.5,16.8,35.5,15.3,25.5,15.7,406.00,,564422
Michigan,Asian/Other,,11,,8,,4,28,23.3,10.2,32,14.4,30.4,11.3,25.9,13,21.2,11.4,19,11.2,281.00,,858800
Nevada,White-NH,,84,,147,,17,269,68.3,4.3,61.3,3.6,58.9,3.2,61.5,3.2,59.6,2.4,55.6,3.2,1211.00,,1425952
Nevada,Black-NH,,18,,8,,2,41,58.2,10,60.7,11.5,60.2,10.4,71.1,9.5,49.6,9.5,39,11.4,233.00,,291960
Nevada,Hispanic,,38,,32,,5,83,36.6,6.4,37.9,8.8,33.7,7.9,30.4,9,23.8,6.4,20.4,8.4,654.00,,890257
Nevada,Asian/Other,,13,,29,,9,58,58.4,10.4,36.5,11.3,44.5,11.6,22.3,10.6,34.5,B,19.6,B,230.00,,496445
North Carolina,White-NH,,149,,259,,6,466,65.3,2.8,68.6,2.3,65.2,2,68.0,2,61.5,2.2,58.9,2.3,4859.00,,6312148
North Carolina,Black-NH,,85,,44,,6,156,61.8,4.6,67.3,4.7,78.7,3.8,68.3,4.6,63.1,4.9,47.7,4.8,1752.00,,2107526
North Carolina,Hispanic,,20,,16,,1,37,24.2,5.9,23.1,7.8,15.7,7,20.7,11.6,8.2,7,8.4,7.9,989.00,,1118596
North Carolina,Asian/Other,,15,,22,,1,45,49.3,11.5,39.6,11.7,35.4,18.6,28.4,15.4,34.4,15.8,2.6,B,317.00,,901118
Pennsylvania,White-NH,,269,,307,,55,669,71.2,2.1,62.2,1.8,61.8,1.6,62.3,1.6,65.1,1.5,56.6,1.6,7910.00,,9553417
Pennsylvania,Black-NH,,46,,20,,6,79,66.6,5.8,59.5,6,61,5.6,60.6,5.9,55.6,5.9,61.3,6.3,1042.00,,1368978
Pennsylvania,Hispanic,,19,,9,,1,33,43.6,8.6,42.1,11,36.7,10.2,44.6,12.4,34.5,13.5,27.3,12.9,618.00,,1049615
Pennsylvania,Asian/Other,,4,,8,,0,21,36.3,12.8,43.3,11.8,19.3,9.1,20.1,13.9,20.5,10.1,27.1,14,231.00,,1030690
Wisconsin,White-NH,,263,,267,,51,625,77.2,2.8,73.7,2.4,74.6,2.1,71.9,2.2,76.5,1.8,70.5,2.5,3776.00,,4634018
Wisconsin,Black-NH,,13,,5,,1,21,43.5,12,45.1,13.9,73.7,10.3,73.1,11.4,68.1,10.3,62,16,263.00,,366508
Wisconsin,Hispanic,,2,,6,,1,10,41.7,13.7,33.8,13.6,33.3,15.1,26.9,14.9,33,13.2,19.4,16.2,242.00,,447290
Wisconsin,Asian/Other,,8,,29,,1,47,37.6,B,23.9,B,42.9,B,41.0,B,28.2,B,62.5,B,117.00,,445902
National White,,,,,,,,,69.8,0.4,64.1,0.4,63,0.3,66.1,0.3,60.3,0.3,60.4,0.4,,,60381161
National Black,,,,,,,,,58.7,1,55.9,1.1,62,1,64.7,1,56.3,1.1,54.1,1.2,,,
National Hispanic,,,,,,,,,38.8,0.9,32.5,1.1,31.8,1.1,49.9,1.3,56.3,1.1,27.5,1.4,,,
National Asian,,,,,,,,,42.8,1.5,33.9,1.5,31.3,1.5,47.6,1.7,29.8,1.7,25.4,1.8,,,
National,,,,,,,,,61.3,0.4,56,0.3,56.5,0.3,58.2,0.3,58.3,0.3,54.7,0.3,,,
